	Clean_1	Clean_2	Clean_3	Clean_4	Clean_5	Marrow_1	Marrow_2	Marrow_3	Marrow_4	Marrow_5
ENSMUSG00000000001.4	23.47	30.78	27.96	28.05	30.09	37.95	45.63	43.3	37.6	41.22
ENSMUSG00000000003.12	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000028.11	4.88	6.07	5.4	7.7	5.97	22.94	22.37	23.63	25.5	24.84
ENSMUSG00000000031.12	228.49	57.52	66.61	138.98	57.91	3.17	2.2	3.16	3.49	1.69
ENSMUSG00000000037.13	0.39	0.72	0.41	0.47	1.23	1.47	0.77	1.15	1.23	0.67
ENSMUSG00000000049.8	0.47	0	0	0	0	0	0.28	0	0	0
ENSMUSG00000000056.7	19.79	17.08	19.09	27.55	18.76	59.65	59.06	44.87	54.31	54.88
ENSMUSG00000000058.6	13.37	5.73	9.42	6.78	11.95	2.54	2	1.28	2.03	2.26
ENSMUSG00000000078.6	20.02	25.62	27.48	28.57	25.52	26.43	30.99	31.52	32.64	31.1
ENSMUSG00000000085.13	18	27.14	20.56	24.94	18.61	15.05	16.13	14.48	15.71	17.64
ENSMUSG00000000088.6	121.58	48.72	64.2	88.57	71.96	85.58	92.48	97.92	79.36	102.94
ENSMUSG00000000093.6	33.39	46.31	45.03	38.33	36.47	3.4	2.69	4.58	3.7	2.96
ENSMUSG00000000094.9	0.42	0.39	0.32	0.42	0.06	0	0.15	0	0	0
ENSMUSG00000000103.9	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000120.6	0.99	0.61	0.35	0.04	0.35	0.08	0.38	0	0.17	0.27
ENSMUSG00000000125.5	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000126.8	2.29	1.55	1.16	0.96	1.87	0.12	0.04	0.05	0.04	0.14
ENSMUSG00000000127.11	10.82	9.68	8.39	9.5	9.15	5.53	5.81	5.72	4.72	5.07
ENSMUSG00000000131.12	26.93	25.52	28.13	33.73	28.72	43.86	42.27	42.1	45.91	41.52
ENSMUSG00000000134.14	11.4	15.42	12.78	10.57	14.09	17.47	19.93	21.33	17.32	19.44
ENSMUSG00000000142.12	6.6	6.54	4.18	4.42	6.47	0.49	1.43	1.06	1.13	1.64
ENSMUSG00000000148.14	5.52	6.89	7.16	7.28	8.16	7.15	7.46	7.21	6.2	7.88
ENSMUSG00000000149.7	21.04	23.26	24.67	21.85	21.3	28.66	29.73	29.22	28.58	27.51
ENSMUSG00000000154.12	0.92	1.1	1.05	2.05	1.69	1.82	0.58	1.83	0.32	0.47
ENSMUSG00000000157.12	17.81	21.73	21.3	25.99	22.12	89.3	108.12	77.85	74.96	79.05
ENSMUSG00000000159.12	0.09	0	0	0	0	0	0	0	0	0
ENSMUSG00000000167.11	0	0.71	0.33	0.9	0.31	0.98	0.39	0.19	1.4	0.16
ENSMUSG00000000168.6	18.26	13.93	10.03	15.84	13.58	16.32	13.19	20.13	13.7	13.33
ENSMUSG00000000171.4	43.5	31.04	35.61	41.04	37.73	48.14	46.4	48.03	49.17	47.3
ENSMUSG00000000182.7	1.45	2.47	3.77	2.23	1.92	0.5	0.76	0.6	0.46	0.55
ENSMUSG00000000183.5	0.69	0.18	0.37	0.56	0	0	0	0	0	0
ENSMUSG00000000184.9	24.47	30.87	26.18	21.25	31.39	18.46	20.37	21.93	18.95	19.9
ENSMUSG00000000194.10	21.79	35.36	20.49	22.97	23.34	20.11	24.35	38.18	20.79	20.55
ENSMUSG00000000197.7	0.4	0.26	0.05	0.19	0.26	0	0.02	0	0	0
ENSMUSG00000000202.6	0.35	0	0.35	0	0	0	0	0	0	0
ENSMUSG00000000204.12	15.68	15.36	13.3	20.46	16.67	74.79	88.32	65.11	84.98	101.17
ENSMUSG00000000214.7	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000215.7	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000216.8	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000223.10	2.86	2.02	1.58	0.86	1.59	1.17	0.6	0.81	0.6	0.82
ENSMUSG00000000244.13	9.06	16.26	15.52	17.45	15.48	52.81	58.65	61.14	56.4	55.85
ENSMUSG00000000247.8	0.09	0.12	0.05	0.33	0.12	0.13	0	0.37	0.14	0
ENSMUSG00000000248.13	0.47	0.71	0.06	0	0.32	0.26	0.27	0.14	0.06	0.07
ENSMUSG00000000253.9	14.05	6.38	5.51	9.56	7.72	7.82	8.22	9.25	7.76	7.41
ENSMUSG00000000263.12	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000266.8	10.14	13.67	10.05	9.82	8.01	1.65	1.47	2.34	3.43	1.79
ENSMUSG00000000275.13	11.07	11.11	11.47	15.38	11.51	20.51	25.91	24.16	26.52	24.6
ENSMUSG00000000276.8	2.93	1.54	1.83	2.03	2.52	2.27	2.12	1.96	1.77	1.58
ENSMUSG00000000278.10	18.39	21.06	18.74	17.67	20.51	15.88	18.26	19.48	17.5	16.37
ENSMUSG00000000282.9	12.39	11.66	12.85	9.76	11.08	11.4	13.5	7.71	10.24	10.53
ENSMUSG00000000290.10	29.52	42.67	41.62	47.78	39.83	147.91	178.24	150.53	131.31	142.35
ENSMUSG00000000295.9	7.21	4.05	5.76	6.19	6.63	5.54	6.2	6.15	7.62	5.39
ENSMUSG00000000296.7	1.67	0.34	0.48	1.09	0.46	0	0	0	0.13	0
ENSMUSG00000000301.13	1.27	0	0.67	1.54	0.88	1.61	0.74	1.27	2.31	0.81
ENSMUSG00000000303.9	0.22	0.72	0.58	0.37	0.19	0.89	1.69	1.38	1.51	1.28
ENSMUSG00000000305.9	0.37	0.73	0.96	0.77	0.36	0.5	0.52	1.18	0.8	0.21
ENSMUSG00000000308.11	0.36	0.3	0.1	0.3	0.69	0	0	0	0	0
ENSMUSG00000000317.8	10.71	3.46	5.81	5.06	6.14	1.06	1.26	0.78	0.62	1.19
ENSMUSG00000000318.13	5.21	9.14	4.01	4.14	6.71	8.88	8.23	9.52	11.4	9.4
ENSMUSG00000000320.7	10.82	25.93	15.91	11.93	9.5	44.73	54.76	54.92	49.05	52.49
ENSMUSG00000000325.12	12.21	14.48	13	15.47	15.15	5.87	5.65	5.69	5.37	6.71
ENSMUSG00000000326.9	17.94	26.28	23.09	27.42	21.23	45.46	37.7	35.87	48.1	41.87
ENSMUSG00000000339.11	7.92	9.68	8.94	7.25	6.7	11.52	11.52	11.8	13.84	12.26
ENSMUSG00000000340.7	5.76	4.7	4.11	3.14	3.28	2.63	3.61	3.29	2.29	3.18
ENSMUSG00000000346.8	55.83	61.84	55.29	63.4	55.17	113.42	118.94	116.67	107.26	105.89
ENSMUSG00000000355.10	12.85	17.12	14.86	13.83	10.25	13.72	15.06	19.54	20.99	23.11
ENSMUSG00000000359.3	3.61	4.4	4.19	5.53	2.84	1.49	2.11	1.45	1.84	1.58
ENSMUSG00000000365.8	0.07	0.11	0.08	0.2	0.13	0.26	0.49	0.12	0.28	0.21
ENSMUSG00000000374.7	14.52	13.53	13.07	16.7	15.3	33.76	31.49	32.88	33.45	32.37
ENSMUSG00000000378.12	22.66	21.62	20.9	30.47	28.61	50.26	55.63	48.86	43.97	51.92
ENSMUSG00000000381.10	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000384.12	21.08	21.11	19	26.97	23.06	42.75	31.96	31.27	31.06	30.94
ENSMUSG00000000385.7	0	0	0	0	0.05	0	0	0	0	0
ENSMUSG00000000386.11	2.87	2.43	1.81	1.23	2.86	7.15	5.15	4.95	3.83	8.93
ENSMUSG00000000392.14	123.33	214.07	132.51	108.94	138.81	17.95	10.72	22.05	14.53	18.23
ENSMUSG00000000394.12	0	0	0	0.26	0	0	0	0	0	0
ENSMUSG00000000399.7	34.81	16.84	20.61	27.36	21.37	27.32	25.34	30.43	25.72	29.34
ENSMUSG00000000402.2	0.28	0	0.2	0.4	0.52	0.62	0.76	0.56	0.22	0.77
ENSMUSG00000000409.11	2.1	3.2	3.7	2.11	4.57	9.25	6.55	9.29	11.29	10.68
ENSMUSG00000000411.7	0	0	0	0.13	0.15	0	0	0	0	0
ENSMUSG00000000416.13	2.01	3.8	3.25	2.3	4.45	0.6	0.98	0.35	0.45	0.22
ENSMUSG00000000420.12	31.84	40.86	44.7	43.42	42.89	62.2	58.42	61.83	63.36	53.84
ENSMUSG00000000435.1	0.31	0	0	0	0	0	0	0	0	0
ENSMUSG00000000439.8	8.62	6.93	6.48	9.19	6.98	7.46	6.49	7.67	7.26	6.17
ENSMUSG00000000440.9	6.2	5.8	5.94	5.83	4.63	10.98	8.67	10.73	12.42	8.85
ENSMUSG00000000441.14	35.25	32.64	33.17	36.43	35.23	42.68	43.1	39.38	42.46	42.47
ENSMUSG00000000486.10	10.92	15.51	14.72	16.46	19.37	60.69	52.28	57.73	49.79	54.5
ENSMUSG00000000489.6	17.83	12.37	18.23	10.44	17.21	7.73	8.39	9.03	8.95	7.55
ENSMUSG00000000530.13	17.8	14.72	15.76	12.47	13.5	12.98	20.25	10.18	10.37	12.27
ENSMUSG00000000531.4	7	5.49	6.39	3.81	6.38	1.23	1.21	1.29	0.85	1.31
ENSMUSG00000000532.10	7.51	5.44	6.16	5.16	6	6.9	6.35	5.91	6.01	6.44
ENSMUSG00000000538.15	30.53	22.94	22.81	25.96	24.61	11.11	14.08	12.13	12.47	10.62
ENSMUSG00000000544.11	0.06	0	0.06	0	0	0	0	0	0	0.07
ENSMUSG00000000552.9	7.01	6.77	6.94	5.87	7.19	13.21	14.76	14.65	12.5	11.46
ENSMUSG00000000555.6	11.99	11.09	14.88	10.77	14.61	8.84	9.57	9.37	9.82	9.8
ENSMUSG00000000560.6	0	0	0	0	0	0	0	0	0.04	0
ENSMUSG00000000561.11	9.15	9.5	9.45	14.07	8.53	14.19	16.08	14.15	15.93	22.3
ENSMUSG00000000562.5	0.12	0.36	0.17	0.14	0.32	1.02	1.22	1.15	0.7	0.83
ENSMUSG00000000563.14	88.36	58.12	66.9	80	67.82	98.08	90.02	100.98	102.96	106.26
ENSMUSG00000000567.5	3.38	5	3.76	2.07	2.7	0.2	0.34	0.12	0.21	0.19
ENSMUSG00000000568.12	62.61	73.22	55.45	69.47	77.26	156.05	148.8	167.14	156.34	162.66
ENSMUSG00000000579.11	9.2	11.05	9.67	13.07	13.95	21.87	28.59	26.55	20.96	18.06
ENSMUSG00000000581.5	10.15	15.89	12.46	12	7.61	11.35	19.64	23.53	19.45	16.2
ENSMUSG00000000594.7	30.07	39.04	39.07	33.05	35.99	50.47	59.17	51.97	51.41	56
ENSMUSG00000000600.12	18.12	23.53	20.63	26.48	21.35	31.33	30.56	34.53	33.33	34.75
ENSMUSG00000000605.8	15.08	16.14	13.32	15.24	15.64	9.79	11.54	12.28	9.56	10.92
ENSMUSG00000000606.12	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000617.11	0	0	0	0	0.05	0.63	0.51	0.57	0.5	0.51
ENSMUSG00000000627.12	0.89	1.4	2.12	0.77	0.62	2.46	2.64	2.27	1.62	2.69
ENSMUSG00000000628.7	24.58	9.36	10.12	18.63	13.32	12.58	16.54	12.86	12.89	14.8
ENSMUSG00000000631.16	91.39	76.93	54.33	75.96	66.59	33.44	36.22	36.79	38.95	40.1
ENSMUSG00000000632.10	0.37	0.06	0.19	0.07	0	0	0	0.05	0	0
ENSMUSG00000000673.8	0.93	1.08	2.01	2.28	2.91	7.67	7.05	6.51	6.3	5.63
ENSMUSG00000000682.7	53.91	73.15	74.73	89.13	81.66	272.3	349.1	291.34	250.12	320.4
ENSMUSG00000000686.11	5.54	5.05	7.31	5.83	5.07	5.96	6.51	6.97	6.63	5.1
ENSMUSG00000000690.5	0.95	0.32	0.8	0.39	0	0.23	0.08	0	0	0.13
ENSMUSG00000000693.7	10.57	22.12	18.54	13	16.77	1.92	2.64	3.08	4.32	2.64
ENSMUSG00000000701.7	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000706.12	0.04	0.11	0.04	0.16	0.1	1.09	0.55	0.66	0.88	0.97
ENSMUSG00000000708.11	14.08	10.12	11.15	14.88	18.35	16.29	17.15	19.91	23.93	19.88
ENSMUSG00000000711.2	32.82	29.42	27.99	33.17	29.49	43.3	44.84	42.74	40.01	41.73
ENSMUSG00000000724.10	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000730.10	0.69	0.4	0	1.07	0	0.29	0.9	1.24	0.16	1.37
ENSMUSG00000000731.12	0	0	0	0	0	0.05	0	0	0.16	0.37
ENSMUSG00000000732.8	3.25	4.93	3.52	4.26	4.44	8.43	9.19	7.92	9.3	7.57
ENSMUSG00000000738.14	14.89	11.51	12.67	18.43	12.83	22.3	15.39	18.1	16.19	17.03
ENSMUSG00000000739.10	1.7	1.07	2.76	1.98	2.07	0.16	0	0.35	0.65	0.47
ENSMUSG00000000740.8	338.02	368.55	368.78	385.95	377.91	554.92	561.27	550.18	541.63	587.91
ENSMUSG00000000743.8	20.24	24.11	23.09	27.92	23.68	35.83	32.36	35.33	32.47	30.07
ENSMUSG00000000751.10	17.27	17.58	15.77	27.2	26.15	66.18	56.38	58.54	64.71	68.16
ENSMUSG00000000753.12	498.67	649.36	846.52	358.65	521.95	57	50.26	62.14	27.12	32.49
ENSMUSG00000000759.11	11.19	18.19	13.48	14.71	14.74	30.25	29.77	30.12	27.46	28.58
ENSMUSG00000000766.15	0	0.16	0	0	0	0	0	0	0	0
ENSMUSG00000000776.9	11.31	8.53	8.21	9.68	8.98	5.84	6.57	3.73	4.74	6.9
ENSMUSG00000000782.12	6.89	12.28	7.45	3.93	6.88	3.87	3.91	4.58	3.9	4.01
ENSMUSG00000000787.9	58.78	61.77	52.72	66.58	61.97	83.52	83.63	93.2	78.13	86.13
ENSMUSG00000000791.8	0.78	1	0.51	0.59	0.61	1.12	1.04	1.34	1.18	0.55
ENSMUSG00000000792.2	0.13	0.13	0	0	0	0	0.16	0	0.16	0
ENSMUSG00000000794.9	1.4	0.31	0.86	0.57	0.68	0.05	0.02	0.04	0.07	0.05
ENSMUSG00000000804.11	19.46	11.77	14.33	18.67	16.96	59.41	53.96	63.13	61.64	63.62
ENSMUSG00000000805.15	0.56	0.36	0.12	0.84	0.66	0	0	0	0	0
ENSMUSG00000000811.10	3.69	3.99	2.94	3.91	2.98	1.43	1.8	3.28	2.47	2.52
ENSMUSG00000000817.10	0.07	0	0	0.41	0.09	0.6	0.31	0.45	1.34	0.77
ENSMUSG00000000823.13	22.09	31.61	17.86	26.06	23.49	20.94	20.59	18.86	17.42	15.01
ENSMUSG00000000826.13	25.84	32.25	26.14	27.36	26.05	35.14	38.71	37.55	36.93	37.44
ENSMUSG00000000827.15	30.24	30.41	21.84	32.93	33.51	34.52	31.65	31.78	34.11	37.53
ENSMUSG00000000838.14	19.45	18.97	20.82	24.97	25.43	33.9	33.71	37.02	33.72	36.36
ENSMUSG00000000861.12	5.88	5.66	7.79	12.32	7.99	33.37	30.2	39.19	37.63	34.94
ENSMUSG00000000869.9	0	0	0	0	0.43	0.87	0	1.25	0	0
ENSMUSG00000000876.8	7.72	6.71	6.26	5.76	6.56	11.58	12.36	12.28	13.3	10.47
ENSMUSG00000000881.9	4.26	4.61	4.33	7.58	6.57	2.66	2.66	4.23	4.45	2.72
ENSMUSG00000000884.13	0.8	3.17	0.9	1.29	2.5	1.32	2.5	1.98	1.9	1.59
ENSMUSG00000000889.8	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000901.12	5.12	4.59	3.91	2.76	4.33	1.87	2.07	1.47	1.28	1.55
ENSMUSG00000000902.10	20.36	25.33	22.64	24.69	22.49	27.88	32.52	30.43	32.17	30.62
ENSMUSG00000000903.3	6.31	10.22	14.48	22.24	15.55	43.22	48.56	60.12	39.78	60.31
ENSMUSG00000000915.12	9.34	10.81	8.76	12.05	8.38	19.48	17.26	18.16	16.7	16.3
ENSMUSG00000000916.12	4.7	4.82	5.35	6.78	6.98	6.93	5.3	7.21	5.1	11
ENSMUSG00000000934.8	1.33	1.4	1.5	1.81	1.54	1.56	1.3	2.16	2.25	1.87
ENSMUSG00000000938.11	6.07	7.78	5.56	4.34	6.95	0.61	0.82	1.69	1.45	0.52
