	Clean_1	Clean_2	Clean_3	Clean_4	Clean_5	Marrow_1	Marrow_2	Marrow_3	Marrow_4	Marrow_5
ENSMUSG00000000001.4	624	525	687	600	570	897	1031	860	825	857
ENSMUSG00000000003.12	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000028.11	75	67	80	107	73	339	309	295	348	320
ENSMUSG00000000031.12	4032	651	1069	1963	723	44	25	38	49	18
ENSMUSG00000000037.13	16	14	9	15	8	34	22	26	32	17
ENSMUSG00000000049.8	2	0	0	0	0	0	2	0	0	0
ENSMUSG00000000056.7	449	240	314	517	321	1281	1111	937	1124	1069
ENSMUSG00000000058.6	247	74	179	113	164	35	24	21	28	30
ENSMUSG00000000078.6	701	575	889	803	636	822	921	824	942	851
ENSMUSG00000000085.13	254	203	277	232	195	206	229	186	217	211
ENSMUSG00000000088.6	475	126	234	292	207	304	317	290	263	318
ENSMUSG00000000093.6	995	885	1240	918	774	90	68	102	91	69
ENSMUSG00000000094.9	10	6	7	8	1	0	3	0	0	0
ENSMUSG00000000103.9	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000120.6	28	11	9	1	7	2	9	0	4	6
ENSMUSG00000000125.5	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000126.8	62	27	29	21	36	3	1	1	1	3
ENSMUSG00000000127.11	262	150	187	183	157	117	117	102	91	96
ENSMUSG00000000131.12	832	527	783	793	650	1231	1181	976	1200	1083
ENSMUSG00000000134.14	306	228	319	242	222	401	424	342	379	368
ENSMUSG00000000142.12	125	86	93	100	101	11	23	15	22	19
ENSMUSG00000000148.14	151	121	176	157	145	170	163	145	138	166
ENSMUSG00000000149.7	588	417	637	491	424	712	706	610	659	601
ENSMUSG00000000154.12	8	8	11	2	7	4	5	4	1	4
ENSMUSG00000000157.12	324	275	372	390	293	1451	1711	1124	1160	1157
ENSMUSG00000000159.12	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000000167.11	0	5	3	3	2	6	3	1	6	1
ENSMUSG00000000168.6	415	166	230	263	220	253	257	231	250	202
ENSMUSG00000000171.4	393	181	300	305	245	391	358	327	366	332
ENSMUSG00000000182.7	20	22	40	25	19	5	9	4	4	2
ENSMUSG00000000183.5	6	1	3	4	0	0	0	0	0	0
ENSMUSG00000000184.9	1177	951	1163	819	1074	788	831	787	751	748
ENSMUSG00000000194.10	597	410	544	493	463	522	455	503	529	432
ENSMUSG00000000197.7	24	10	3	9	11	0	1	0	0	0
ENSMUSG00000000202.6	1	0	1	0	0	0	0	0	0	0
ENSMUSG00000000204.12	398	240	312	410	311	1657	1876	1239	1743.8	1946
ENSMUSG00000000214.7	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000215.7	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000216.8	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000223.10	120	59	67	40	54	30	22	26	26	28
ENSMUSG00000000244.13	78	100	130	131	103	457	468	416	429	400
ENSMUSG00000000247.8	2	1	1	1	2	2	0	1	2	0
ENSMUSG00000000248.13	3	3	1	0	1	2	2	2	1	1
ENSMUSG00000000253.9	168	49	63	92	64	85	83	82	77	70
ENSMUSG00000000263.12	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000266.8	311	224	305	218	213	55	35	56	85	45
ENSMUSG00000000275.13	476	309	499	456	352	782	900	725	843	879
ENSMUSG00000000276.8	141	59	97	84	79	99	83	86	74	72
ENSMUSG00000000278.10	300	221	276	231	239	229	248	236	234	209
ENSMUSG00000000282.9	335	242	316	254	252	332	347	210	242	247
ENSMUSG00000000290.10	704	621	853	803	665	2965	3317	2458	2478	2588
ENSMUSG00000000295.9	40	18	35	33	30	26	32	27	36	24
ENSMUSG00000000296.7	15	2	4	8	3	0	0	0	1	0
ENSMUSG00000000301.13	8	0	1	8	4	9	4	6	12	4
ENSMUSG00000000303.9	8	16	14	11	5	29	53	38	46	37
ENSMUSG00000000305.9	19	12	18	6	14	12	9	16	13	9
ENSMUSG00000000308.11	1	2	1	2	2	0	0	0	0	0
ENSMUSG00000000317.8	205	61	132	85	91	26	23	16	14	19
ENSMUSG00000000318.13	33	39	48.67	43	58	83	90	89	118	93
ENSMUSG00000000320.7	244	386	340	221	159	935	1098	959	954	959
ENSMUSG00000000325.12	302	257	312	268	256	127	112	101	109	140
ENSMUSG00000000326.9	195	165	218	228	156	426	320	286	392	338
ENSMUSG00000000339.11	77	62	88	64	57	115	117	99	126	104
ENSMUSG00000000340.7	105	44	75	68	63	63	65	60	51	67
ENSMUSG00000000346.8	761	548	693	694	540	1389	1404	1200	1227	1145
ENSMUSG00000000355.10	59	46	61	54	28	58	60	63	78	78
ENSMUSG00000000359.3	44	34	46	37	25	16	21	13	18	13
ENSMUSG00000000365.8	3	3	3	7	4	10	18	4	10	7
ENSMUSG00000000374.7	615	367	511	567	461	1269	1131	1039	1167	1071
ENSMUSG00000000378.12	228	136	195	258	201	426	455	361	360	377
ENSMUSG00000000381.10	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000384.12	206	119	179	207	177	334	339	215	269	258
ENSMUSG00000000385.7	0	0	0	0	1	0	0	0	0	0
ENSMUSG00000000386.11	22	12	17	11	17	76	66	71	54	118
ENSMUSG00000000392.14	2313	2707	2332	1645	1958	255	174	295	236	267
ENSMUSG00000000394.12	0	0	0	1	0	0	0	0	0	0
ENSMUSG00000000399.7	344	111	187	219	153	237	213	221	208	220
ENSMUSG00000000402.2	6	0	4	7	8	12	14	9	4	13
ENSMUSG00000000409.11	22	18	26	21	26	86	77	82	88	77
ENSMUSG00000000411.7	0	0	0	1	1	0	0	0	0	0
ENSMUSG00000000416.13	55	43	66	49	42	8	13	11	13	5
ENSMUSG00000000420.12	878	689	1069	840	801	1313	1264	1140	1218	1110
ENSMUSG00000000435.1	5	0	0	0	0	0	0	0	0	0
ENSMUSG00000000439.8	143	72	99	124	83	114	91	98	98	80
ENSMUSG00000000440.9	88	53	78	67	47	139	105	114	146	97
ENSMUSG00000000441.14	822	520	750	709	601	904	896	704	859	811
ENSMUSG00000000486.10	94	85	103	109	91	388	397	344	334	336
ENSMUSG00000000489.6	420	187	397	198	289	162	168	159	174	139
ENSMUSG00000000530.13	383	192	359	173	226	264	293	191	222	215
ENSMUSG00000000531.4	109	55	92	48	71	17	16	15	11	16
ENSMUSG00000000532.10	276	128	209	152	157	225	198	162	182	185
ENSMUSG00000000538.15	918	480	677	602	508	261	282	227	256	223
ENSMUSG00000000544.11	1	0	1	0	0	0	0	0	0	1
ENSMUSG00000000552.9	119	75	112	82	89	205	209	181	172	151
ENSMUSG00000000555.6	437	259	501	315	379	286	296	255	295	279
ENSMUSG00000000560.6	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000000561.11	212.03	138.36	187.52	233.82	151.46	338.93	304.96	293.49	321.71	374.08
ENSMUSG00000000562.5	2	3	3	1	2	13.74	11.12	8.48	6	11
ENSMUSG00000000563.14	981.99	409.99	645	678	532	999	884	837	920	894.99
ENSMUSG00000000567.5	116	110	119	57	66	6	10	3	6	5
ENSMUSG00000000568.12	609	521	562	619	522	1363	1277	1187	1244	1194
ENSMUSG00000000579.11	115.29	93.19	127.39	132.5	117.99	251.78	283.91	221.8	217.78	198.6
ENSMUSG00000000581.5	109	87	90	130	98	118	169	153	135	139
ENSMUSG00000000594.7	528	411	621	453	482	805	863	691	716	753
ENSMUSG00000000600.12	511	392	539	582	450	729	727	704	727	746
ENSMUSG00000000605.8	576	395	470	467	425	332	374	350	301	326
ENSMUSG00000000606.12	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000617.11	0	0	0	0	1	5	9	11	6	6
ENSMUSG00000000627.12	27	12	16	20	13	70	74	55	41	70
ENSMUSG00000000628.7	1103	260	434	634	402	500	601	427	399	518
ENSMUSG00000000631.16	2275	1294	1719	1527	1422	1129	1133	984	1035	1144
ENSMUSG00000000632.10	7	1	5	2	0	0	0	1	0	0
ENSMUSG00000000673.8	8	6	16	16	18	59	52	42	45	38
ENSMUSG00000000682.7	127	115	165	183	143	590	733	525	505	601
ENSMUSG00000000686.11	118	69	144	100	77	113	118	100	106	85
ENSMUSG00000000690.5	9	3	7	3	0	3	1	0	0	1
ENSMUSG00000000693.7	313	297	377	250	276	58	67	78	81	54
ENSMUSG00000000701.7	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000706.12	1	2	1	2	2	24	13	10	14	17
ENSMUSG00000000708.11	524	252	352	380	313	532	482	486	525	498
ENSMUSG00000000711.2	845	486	666	687	541	991	981	821.94	850	839.96
ENSMUSG00000000724.10	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000730.10	1	2	0	3	0	3	2	3	1	6
ENSMUSG00000000731.12	0	0	0	0	0	1	0	0	1	1
ENSMUSG00000000732.8	72	70	72	76	70	166	173	131	170	131
ENSMUSG00000000738.14	296	163	221	263	178	340	263	261	272	275
ENSMUSG00000000739.10	12	5	14	10	11	1	0	1	3	2
ENSMUSG00000000740.8	1607.54	1155.07	1631.81	1530.69	1298.67	2388.23	2316.48	1988.63	2167.71	2200.72
ENSMUSG00000000743.8	295	223	319	321	257	488	411	393	386	359
ENSMUSG00000000751.10	313	188	258	330	299	925	855	794	899	828
